Ranking,Name
23,Université de Montréal
24,University of Toronto
51-75,University of British Columbia
51-75,University of Waterloo
76-100,University of Alberta
101-150,Simon Fraser University
151-200,Carleton University
151-200,Ecole de Technologie Superieure - Canada
151-200,McGill University
151-200,St. Francis Xavier University
201-300,Brandon University
201-300,Concordia University
201-300,University of Guelph
201-300,University of New Brunswick
201-300,University of Quebec Montreal
201-300,Western University
201-300,York University
301-400,The University of Calgary
301-400,Toronto Metropolitan University
301-400,University of Manitoba
301-400,University of Ottawa
301-400,University of Saskatchewan
301-400,University of Victoria
301-400,University of Windsor
401-500,Lakehead University
401-500,McMaster University
401-500,Queen's University
401-500,University of Regina
